State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2016,July,Number of Deaths,"4,269",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,August,Number of Deaths,"4,276",,100,0.0233863423760524,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,September,Number of Deaths,"4,256",,100,0.0469924812030075,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,October,Number of Deaths,"4,291",,100,0.0699137730132836,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,November,Number of Deaths,"4,289",,100,0.0699463744462579,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,December,Number of Deaths,"4,355",,100,0.068886337543054,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,January,Number of Deaths,"4,374",,100,0.0685871056241426,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,February,Number of Deaths,"4,347",,100,0.0690131124913734,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,March,Number of Deaths,"4,359",,100,0.0688231245698555,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,April,Number of Deaths,"4,325",,100,0.069364161849711,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,May,Number of Deaths,"4,277",,100,0.0701426233341127,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,June,Number of Deaths,"4,276",,100,0.0701590271281572,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,July,Number of Deaths,"4,236",,100,0.0708215297450425,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,August,Number of Deaths,"4,234",,100,0.0472366556447803,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,September,Number of Deaths,"4,299",,100,0.0232612235403582,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,October,Number of Deaths,"4,283",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,November,Number of Deaths,"4,308",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,December,Number of Deaths,"4,279",,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2018,January,Number of Deaths,"4,260",,100,0,Underreported due to incomplete data.
AK,AK,2018,February,Number of Deaths,"4,304",,100,0,Underreported due to incomplete data.
AK,AK,2018,March,Number of Deaths,"4,286",,100,0,Underreported due to incomplete data.
AK,AK,2018,April,Number of Deaths,"4,341",,100,0,Underreported due to incomplete data.
AK,AK,2018,May,Number of Deaths,"4,350",,100,0,Underreported due to incomplete data.
AK,AK,2018,June,Number of Deaths,"4,304",,100,0,Underreported due to incomplete data.
AK,AK,2015,January,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,February,Number of Drug Overdose Deaths,127,128,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,March,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,April,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,May,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,June,Number of Drug Overdose Deaths,121,122,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,July,Number of Drug Overdose Deaths,117,118,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,August,Number of Drug Overdose Deaths,124,125,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,September,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,October,Number of Drug Overdose Deaths,120,121,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,November,Number of Drug Overdose Deaths,115,116,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,December,Number of Drug Overdose Deaths,121,122,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,January,Number of Drug Overdose Deaths,126,127,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,February,Number of Drug Overdose Deaths,128,129,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,March,Number of Drug Overdose Deaths,125,126,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,April,Number of Drug Overdose Deaths,132,133,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,May,Number of Drug Overdose Deaths,140,141,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,June,Number of Drug Overdose Deaths,138,139,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,July,Number of Drug Overdose Deaths,143,144,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,August,Number of Drug Overdose Deaths,138,140,100,0.0233863423760524,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,September,Number of Drug Overdose Deaths,131,133,100,0.0469924812030075,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,October,Number of Drug Overdose Deaths,131,134,100,0.0699137730132836,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,November,Number of Drug Overdose Deaths,133,136,100,0.0699463744462579,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,December,Number of Drug Overdose Deaths,129,131,100,0.068886337543054,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,January,Number of Drug Overdose Deaths,126,128,100,0.0685871056241426,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,February,Number of Drug Overdose Deaths,124,126,100,0.0690131124913734,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,March,Number of Drug Overdose Deaths,126,128,100,0.0688231245698555,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,April,Number of Drug Overdose Deaths,117,119,100,0.069364161849711,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,May,Number of Drug Overdose Deaths,120,122,100,0.0701426233341127,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,June,Number of Drug Overdose Deaths,122,124,100,0.0701590271281572,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,July,Number of Drug Overdose Deaths,128,130,100,0.0708215297450425,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,August,Number of Drug Overdose Deaths,137,139,100,0.0472366556447803,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,September,Number of Drug Overdose Deaths,148,150,100,0.0232612235403582,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,October,Number of Drug Overdose Deaths,144,145,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,November,Number of Drug Overdose Deaths,138,139,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2017,December,Number of Drug Overdose Deaths,141,142,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2018,January,Number of Drug Overdose Deaths,138,138,100,0,Underreported due to incomplete data.
AK,AK,2018,February,Number of Drug Overdose Deaths,138,138,100,0,Underreported due to incomplete data.
AK,AK,2018,March,Number of Drug Overdose Deaths,135,135,100,0,Underreported due to incomplete data.
AK,AK,2018,April,Number of Drug Overdose Deaths,141,141,100,0,Underreported due to incomplete data.
AK,AK,2018,May,Number of Drug Overdose Deaths,125,125,100,0,Underreported due to incomplete data.
AK,AK,2018,June,Number of Drug Overdose Deaths,124,125,100,0,Underreported due to incomplete data.
AL,AL,2015,January,Number of Deaths,"49,543",,100,0.337080919605191,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,February,Number of Deaths,"50,004",,100,0.323974082073434,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,March,Number of Deaths,"50,486",,100,0.30899655349998,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,April,Number of Deaths,"50,565",,100,0.316424404232176,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,May,Number of Deaths,"50,516",,100,0.318710903476126,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,June,Number of Deaths,"50,658",,100,0.341505783884085,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,July,Number of Deaths,"50,841",,100,0.330441966129699,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,August,Number of Deaths,"50,930",,100,0.331827999214608,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,September,Number of Deaths,"51,044",,100,0.323250528955411,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,October,Number of Deaths,"51,091",,100,0.309252118768472,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,November,Number of Deaths,"51,093",,100,0.2935822911162,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,December,Number of Deaths,"50,870",,100,0.310595635934736,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,January,Number of Deaths,"50,534",,100,0.302766454268413,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,February,Number of Deaths,"50,555",,100,0.282860251211552,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,March,Number of Deaths,"50,348",,100,0.282037022324621,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,April,Number of Deaths,"50,391",,100,0.27981187116747,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,May,Number of Deaths,"50,511",,100,0.283106650036626,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,June,Number of Deaths,"50,613",,100,0.264754114555549,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,July,Number of Deaths,"50,683",,100,0.278199790856895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,August,Number of Deaths,"50,756",,100,0.264008196075341,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,September,Number of Deaths,"50,810",,100,0.265695729187168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,October,Number of Deaths,"50,869",,100,0.287011736027836,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,November,Number of Deaths,"51,110",,100,0.275875562512229,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,December,Number of Deaths,"51,431",,100,0.270265015263168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,January,Number of Deaths,"51,652",,100,0.259428482924185,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,February,Number of Deaths,"51,542",,100,0.256101819875053,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,March,Number of Deaths,"51,668",,100,0.251606410157157,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,April,Number of Deaths,"51,794",,100,0.231687068000154,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,May,Number of Deaths,"51,943",,100,0.213695781914791,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,June,Number of Deaths,"52,000",,100,0.205769230769231,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,July,Number of Deaths,"52,035",,100,0.188334774670895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,August,Number of Deaths,"52,075",,100,0.184349495919347,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,September,Number of Deaths,"52,232",,100,0.174222698728749,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,October,Number of Deaths,"52,267",,100,0.158800007653012,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,November,Number of Deaths,"52,254",,100,0.162666972863321,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,December,Number of Deaths,"52,307",,100,0.141472460664921,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2018,January,Number of Deaths,"53,105",,100,0.152528010545146,Underreported due to incomplete data.
AL,AL,2018,February,Number of Deaths,"53,269",,100,0.161444742720907,Underreported due to incomplete data.
AL,AL,2018,March,Number of Deaths,"53,219",,100,0.1691125349969,Underreported due to incomplete data.
AL,AL,2018,April,Number of Deaths,"53,234",,100,0.180335875568246,Underreported due to incomplete data.
AL,AL,2018,May,Number of Deaths,"53,266",,100,0.206510719783727,Underreported due to incomplete data.
AL,AL,2018,June,Number of Deaths,"53,344",,100,0.219331133773245,Underreported due to incomplete data.
AL,AL,2015,January,Number of Drug Overdose Deaths,715,761,100,0.337080919605191,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,February,Number of Drug Overdose Deaths,723,768,100,0.323974082073434,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,March,Number of Drug Overdose Deaths,733,776,100,0.30899655349998,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,April,Number of Drug Overdose Deaths,738,783,100,0.316424404232176,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,May,Number of Drug Overdose Deaths,755,801,100,0.318710903476126,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,June,Number of Drug Overdose Deaths,756,806,100,0.341505783884085,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,July,Number of Drug Overdose Deaths,743,790,100,0.330441966129699,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,August,Number of Drug Overdose Deaths,736,783,100,0.331827999214608,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,September,Number of Drug Overdose Deaths,744,790,100,0.323250528955411,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,October,Number of Drug Overdose Deaths,730,773,100,0.309252118768472,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,November,Number of Drug Overdose Deaths,725,766,100,0.2935822911162,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2015,December,Number of Drug Overdose Deaths,720,763,100,0.310595635934736,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,January,Number of Drug Overdose Deaths,706,747,100,0.302766454268413,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,February,Number of Drug Overdose Deaths,710,749,100,0.282860251211552,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,March,Number of Drug Overdose Deaths,681,718,100,0.282037022324621,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,April,Number of Drug Overdose Deaths,676,712,100,0.27981187116747,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,May,Number of Drug Overdose Deaths,654,690,100,0.283106650036626,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,June,Number of Drug Overdose Deaths,674,708,100,0.264754114555549,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,July,Number of Drug Overdose Deaths,681,718,100,0.278199790856895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,August,Number of Drug Overdose Deaths,685,720,100,0.264008196075341,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,September,Number of Drug Overdose Deaths,695,731,100,0.265695729187168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,October,Number of Drug Overdose Deaths,704,743,100,0.287011736027836,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,November,Number of Drug Overdose Deaths,718,756,100,0.275875562512229,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2016,December,Number of Drug Overdose Deaths,740,779,100,0.270265015263168,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,January,Number of Drug Overdose Deaths,763,801,100,0.259428482924185,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,February,Number of Drug Overdose Deaths,759,797,100,0.256101819875053,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,March,Number of Drug Overdose Deaths,794,833,100,0.251606410157157,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,April,Number of Drug Overdose Deaths,795,831,100,0.231687068000154,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,May,Number of Drug Overdose Deaths,812,846,100,0.213695781914791,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,June,Number of Drug Overdose Deaths,804,836,100,0.205769230769231,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,July,Number of Drug Overdose Deaths,809,839,100,0.188334774670895,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,August,Number of Drug Overdose Deaths,808,837,100,0.184349495919347,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,September,Number of Drug Overdose Deaths,800,828,100,0.174222698728749,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,October,Number of Drug Overdose Deaths,801,826,100,0.158800007653012,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,November,Number of Drug Overdose Deaths,799,825,100,0.162666972863321,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2017,December,Number of Drug Overdose Deaths,807,830,100,0.141472460664921,Numbers may differ from published reports using final data. See Technical Notes.
AL,AL,2018,January,Number of Drug Overdose Deaths,786,803,100,0.152528010545146,Underreported due to incomplete data.
AL,AL,2018,February,Number of Drug Overdose Deaths,797,819,100,0.161444742720907,Underreported due to incomplete data.
AL,AL,2018,March,Number of Drug Overdose Deaths,782,805,100,0.1691125349969,Underreported due to incomplete data.
AL,AL,2018,April,Number of Drug Overdose Deaths,780,805,100,0.180335875568246,Underreported due to incomplete data.
AL,AL,2018,May,Number of Drug Overdose Deaths,783,811,100,0.206510719783727,Underreported due to incomplete data.
AL,AL,2018,June,Number of Drug Overdose Deaths,760,792,100,0.219331133773245,Underreported due to incomplete data.
AR,AR,2015,January,Number of Deaths,"30,122",,100,0.0497974902064936,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,February,Number of Deaths,"30,332",,100,0.0461558749835158,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,March,Number of Deaths,"30,387",,100,0.046072333563695,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,April,Number of Deaths,"30,444",,100,0.0394166338194718,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,May,Number of Deaths,"30,602",,100,0.0424808836023789,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,June,Number of Deaths,"30,722",,100,0.0423149534535512,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,July,Number of Deaths,"30,685",,100,0.0488838194557601,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,August,Number of Deaths,"30,884",,100,0.0485688382333895,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,September,Number of Deaths,"30,931",,100,0.0614270472988264,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,October,Number of Deaths,"31,015",,100,0.0580364339835563,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,November,Number of Deaths,"31,007",,100,0.0612764859547844,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,December,Number of Deaths,"30,986",,100,0.0709998063641645,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,January,Number of Deaths,"30,624",,100,0.0718390804597701,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,February,Number of Deaths,"30,413",,100,0.072337487258738,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,March,Number of Deaths,"30,421",,100,0.0756056671378324,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,April,Number of Deaths,"30,489",,100,0.0787169142969596,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,May,Number of Deaths,"30,361",,100,0.0790487796844636,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,June,Number of Deaths,"30,434",,100,0.0788591706643885,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,July,Number of Deaths,"30,590",,100,0.075187969924812,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,August,Number of Deaths,"30,488",,100,0.0787194961952244,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,September,Number of Deaths,"30,540",,100,0.068762278978389,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,October,Number of Deaths,"30,489",,100,0.0754370428679196,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,November,Number of Deaths,"30,697",,100,0.0749258885233085,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,December,Number of Deaths,"31,028",,100,0.0709036998839758,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,January,Number of Deaths,"31,113",,100,0.073924083180664,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,February,Number of Deaths,"31,156",,100,0.0834510206701759,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,March,Number of Deaths,"31,309",,100,0.0766552748411,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,April,Number of Deaths,"31,382",,100,0.0764769613154037,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,May,Number of Deaths,"31,496",,100,0.0793751587503175,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,June,Number of Deaths,"31,555",,100,0.0760576770717794,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,July,Number of Deaths,"31,550",,100,0.0760697305863708,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,August,Number of Deaths,"31,596",,100,0.0696290669705026,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,September,Number of Deaths,"31,718",,100,0.0725140298883915,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,October,Number of Deaths,"31,724",,100,0.0693481276005548,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,November,Number of Deaths,"31,654",,100,0.0758198016048525,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,December,Number of Deaths,"31,823",,100,0.0565628633378374,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2018,January,Number of Deaths,"32,293",,100,0.0557396339764036,Underreported due to incomplete data.
AR,AR,2018,February,Number of Deaths,"32,397",,100,0.0524739945056641,Underreported due to incomplete data.
AR,AR,2018,March,Number of Deaths,"32,197",,100,0.0652234680249713,Underreported due to incomplete data.
AR,AR,2018,April,Number of Deaths,"32,052",,100,0.0655185323848746,Underreported due to incomplete data.
AR,AR,2018,May,Number of Deaths,"32,107",,100,0.0622917120877067,Underreported due to incomplete data.
AR,AR,2018,June,Number of Deaths,"32,065",,100,0.0717292998596601,Underreported due to incomplete data.
AR,AR,2015,January,Number of Drug Overdose Deaths,366,371,100,0.0497974902064936,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,February,Number of Drug Overdose Deaths,366,371,100,0.0461558749835158,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,March,Number of Drug Overdose Deaths,385,390,100,0.046072333563695,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,April,Number of Drug Overdose Deaths,373,377,100,0.0394166338194718,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,May,Number of Drug Overdose Deaths,383,388,100,0.0424808836023789,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,June,Number of Drug Overdose Deaths,391,396,100,0.0423149534535512,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,July,Number of Drug Overdose Deaths,395,400,100,0.0488838194557601,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,August,Number of Drug Overdose Deaths,398,403,100,0.0485688382333895,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,September,Number of Drug Overdose Deaths,392,398,100,0.0614270472988264,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,October,Number of Drug Overdose Deaths,397,403,100,0.0580364339835563,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,November,Number of Drug Overdose Deaths,389,395,100,0.0612764859547844,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2015,December,Number of Drug Overdose Deaths,381,387,100,0.0709998063641645,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,January,Number of Drug Overdose Deaths,378,384,100,0.0718390804597701,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,February,Number of Drug Overdose Deaths,379,386,100,0.072337487258738,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,March,Number of Drug Overdose Deaths,363,369,100,0.0756056671378324,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,April,Number of Drug Overdose Deaths,372,379,100,0.0787169142969596,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,May,Number of Drug Overdose Deaths,376,383,100,0.0790487796844636,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,June,Number of Drug Overdose Deaths,369,376,100,0.0788591706643885,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,July,Number of Drug Overdose Deaths,378,385,100,0.075187969924812,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,August,Number of Drug Overdose Deaths,383,390,100,0.0787194961952244,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,September,Number of Drug Overdose Deaths,379,385,100,0.068762278978389,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,October,Number of Drug Overdose Deaths,372,379,100,0.0754370428679196,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,November,Number of Drug Overdose Deaths,378,385,100,0.0749258885233085,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2016,December,Number of Drug Overdose Deaths,386,393,100,0.0709036998839758,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,January,Number of Drug Overdose Deaths,384,391,100,0.073924083180664,Numbers may differ from published reports using final data. See Technical Notes.
AR,AR,2017,February,Number of Drug Overdose Deaths,380,387,100,0.0834510206701759,Numbers may differ from published reports using final data. See Technical Notes.
